hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
116	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c9s	8c7s	5c Ac Td Ad 7h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Call|Raise:2.50|Call|Call	tie
117	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7s8s	6c4h	5c 8c 3h 8h 9s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Fold|Fold	tie
118	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KhKs	2cJd	3d 4d Qh 3s 4s	Raise:2.50	Fold	-13.5000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Call|Call	Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Check|Raise:2.50|Fold|Fold|Call|Fold|Fold	loss
119	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cKd	Jd9s	9c 2h Th 4s As	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Fold|Call|Call|Raise:2.50|Call	tie
120	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5hQs	2dTh	3c 6c 8c 3d 2s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Call|Call|Raise:2.50|Call	tie
121	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdKd	5cJc	5d Jh Ah 2s Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Raise:2.50|Fold|Call|Call|Raise:2.50	tie
122	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7d3s	AcKd	5c Tc Td 7h 7s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Call|Raise:2.50|Call|Fold	tie
123	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cQh	5c9c	Qc 8d Ad 6h 7h	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Raise:2.50|Call|Call	tie
124	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cTh	8sJs	Jd 3h 7h Qh Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Raise:2.50|Call|Call	tie
125	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5h9h	QcJs	2h 3h Jh Qh 6s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Raise:2.50|Fold|Fold|Call|Call|Call	tie
