hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4345	BigBlind	8hTs	JsQs		1800	18.000	2	3	b200b300b1800b3300f
4346	Button	KhKs	QcTs	9s5h2sAs	750	7.500	3	5	b300c/kb450c/kb1150f
4347	BigBlind	JcTh	3cTd	AhAdAc	300	3.000	2	3	b200b300c/b300f
4348	Button	7c5s	Jc4h	Td8s6s	250	2.500	2	3	b250c/kb250f
4349	BigBlind	7c3s	JdQh	Ac8c7hAs	600	6.000	3	4	b200b300c/b300c/b600f
4350	Button	4c5h	TcAs	QcTh2h9dKd	1000	10.000	4	7	b250c/kb250c/kb500c/kb1000f
4351	BigBlind	7dJs	9d7s		200	2.000	1	2	b200b300f
4352	Button	2d9s	QcQh	8d4d3s5s7h	-20000	-200.000	5	5	b250b750b1250c/kb1250b8950b16650b18750c//
4353	BigBlind	6hTh	2sAs	QdJd4d9h	600	6.000	3	4	b200b300c/b300c/b600f
4354	Button	JhKs	2hQs		100	1.000	1	1	b300f
4355	BigBlind	3cQh	Kc8s	Ts6h4dAh	600	6.000	3	4	b200b300c/b300c/b600f
4356	Button	Qh5s	Kc3s		100	1.000	1	1	b300f
4357	BigBlind	Kc8s	KdAd	Js5s2d7c8h	20000	200.000	3	3	b200b300b1800b3300b20000c///
4358	Button	2cKc	Qd9s	9h9d7sTc7d	-20000	-200.000	6	8	b300c/kb300b900b1500c/kb1800c/kb3600b16400c
4359	BigBlind	Th7s	TdKd	9c7d6d9h2c	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
4360	Button	4c7d	4h4s	Qh6h3dAs	1750	17.500	4	6	b250b750b1250c/b250b500c/kb1750f
4361	BigBlind	JcTh	5dAh	Qd8s7c	300	3.000	2	3	b200b300c/b300f
4362	Button	2d4h	Qc5s	KcQh9hAs8c	1000	10.000	4	7	b250c/kb250c/kb500c/kb1000f
4363	BigBlind	2h7s	6c7c	7d3s2sKh	8250	82.500	4	5	b200b300b1800b3300c/b4950c/b11750f
4364	Button	8c8h	4dKs		100	1.000	1	1	b300f
4365	BigBlind	7cAd	2c6c		200	2.000	1	2	b200b450f
4366	Button	2d2s	4d8s		100	1.000	1	1	b250f
4367	BigBlind	2hJs	4h3s		200	2.000	1	2	b200b300f
4368	Button	Ad2s	Tc6s		100	1.000	1	1	b300f
4369	BigBlind	7c3d	5h2s		50	0.500	0	1	f
4370	Button	2s4s	Td4h	9h5h3s	250	2.500	2	3	b250c/kb250f
4371	BigBlind	AhTs	Kh7s	As8s8d	450	4.500	2	3	b200b450c/b700f
4372	Button	6dAs	2c3h		100	1.000	1	1	b300f
4373	BigBlind	4c7s	8c4d	Td5c3c	300	3.000	2	3	b200b300c/b300f
4374	Button	3cAd	7d9s	AcJh4c	300	3.000	2	3	b300c/kb450f
4375	BigBlind	2dJd	Ac8h	Kd4d3s	300	3.000	2	3	b200b300c/b450f
4376	Button	TdJs	3h4h	AsAh5c2c5h	3600	36.000	5	8	b300c/kb300c/kb600b1800b3000c/kb3600f
4377	BigBlind	AcJh	3dKs	Td8s8hTh8c	9000	90.000	5	6	b200b450c/b450c/b900b4500b8100c/b9000f
4378	Button	Kh8s	ThJs		900	9.000	2	2	b300b900b1800f
4379	BigBlind	Qc9s	8c8h	Kh8s5hTsKc	-20000	-200.000	5	5	b200b300c/b300b900b1500b10500b19500b19700c//
4380	Button	6cJd	9c9s	Kh5c3sQd	2500	25.000	4	6	b250b750b1250c/kb1250c/kb2500f
4381	BigBlind	Kc6s	8cKs	KdTh4h9sJc	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
4382	Button	9sAs	9h4s		100	1.000	1	1	b300f
4383	BigBlind	2c3c	9sQs	Jd2s2dAd	3700	37.000	4	5	b200b300c/b450b1500b3400c/b5550f
4384	Button	9cKh	7hJs		100	1.000	1	1	b300f
4385	BigBlind	TdKh	2dAs	AdQh3c9s4c	-12000	-120.000	5	6	b200b300c/b300b1500b2700c/b3000c/b6000c
4386	Button	6d5h	Td7s	7c6c2dKsKd	1650	16.500	4	7	b250c/kb400c/kb1000c/kb2500f
4387	BigBlind	QdKs	Kc8h	Ac9h2s	450	4.500	2	3	b200b450c/b450f
4388	Button	TcKd	8dJs	7s3s3c	300	3.000	2	3	b300c/kb300f
4389	BigBlind	JsKs	7cKc	Jd9d6s	450	4.500	2	3	b200b450c/b700f
4390	Button	8cKs	QcJh	Ac4h4d7s	750	7.500	3	5	b300c/kb450c/kb1150f
4391	BigBlind	KhTs	4dTh		200	2.000	1	2	b200b450f
4392	Button	7cTc	6h7s	KsTh2c	250	2.500	2	3	b250c/kb400f
