hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4342	Button	4cKd	3c2d		100	1.000	1	1	b300f
4343	BigBlind	6c9d	TcKc	7h3c2s3h	600	6.000	3	4	b200b300c/b300c/b600f
4344	Button	KcTd	8cAh	KdQhTh6h	5400	54.000	4	6	b300c/kb450c/kb1150b4650b10150f
4345	BigBlind	QdKd	3d4d	QhTc7c	450	4.500	2	3	b200b450c/b700f
4346	Button	Qc7s	Ad4h	8d7c2c	300	3.000	2	3	b300c/kb450f
4347	BigBlind	7cAd	4h8s	Ks4c2s	300	3.000	2	3	b200b300c/b300f
4348	Button	Jh7s	2cJc	Ac7d4cKc3c	-4150	-41.500	4	7	b250c/kb400c/kb1000c/kb2500c
4349	BigBlind	6dTs	Jc3d		200	2.000	1	2	b200b300f
4350	Button	8cKc	Ac3d	Ts9s2s	300	3.000	2	3	b300c/kb450f
4351	BigBlind	8sTs	TdTh	KsQd6c2h4c	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
4352	Button	Jh4s	3h5h	Js8s4d	250	2.500	2	3	b250c/kb400f
4353	BigBlind	ThQs	4cTd		200	2.000	1	2	b200b300f
4354	Button	2c6d	7c6h	AcQcTc9h	500	5.000	3	5	b250c/kb250c/kb500f
4355	BigBlind	3hJh	7d7s	Kd7c3c9d5d	-11400	-114.000	6	6	b200b300c/b450b1500b2550c/b2850c/b5700b14300f
4356	Button	5d5s	JdAd	Kd6s4s8d	8100	81.000	4	6	b300b900b1800c/b900b1800c/b4500b9000f
4357	BigBlind	3d3s	2cQd	AhTc8s	300	3.000	2	3	b200b300c/b300f
4358	Button	KdKs	Ah5s	9d5h5d8dTc	-20000	-200.000	4	4	b300c/b300b1000b3300b7000b19700c//
