hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
61	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
62	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
62	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:5.00	b1250
62	3	Flop	Button	25.000	0.000	187.500	Check,Raise:12.50,Raise:19.00	Raise:12.50	b1250
62	4	Turn	Button	50.000	0.000	175.000	Check,Raise:25.00,Raise:37.50	Raise:25.00	b2500
62	5	River	Button	100.000	0.000	150.000	Check,Raise:50.00,Raise:75.00	Raise:50.00	b5000
63	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
64	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
64	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
65	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
65	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
65	3	Flop	BigBlind	18.000	6.000	194.000	Fold,Call,Raise:6.00,Raise:13.50	Raise:6.00	b1500
66	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
67	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
68	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
68	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
69	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
69	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
69	3	Flop	BigBlind	33.000	21.000	194.000	Fold,Call,Raise:21.00,Raise:25.00	Raise:21.00	b4500
69	4	Flop	BigBlind	248.000	152.000	152.000	Fold,Call	Call	c
70	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
70	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:5.00	b1250
70	3	Flop	Button	27.500	2.500	187.500	Fold,Call,Raise:2.50,Raise:20.50	Raise:20.50	b2300
71	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
72	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
72	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
72	3	Turn	Button	13.000	0.000	193.500	Check,Raise:6.50,Raise:10.00	Raise:10.00	b1000
73	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
73	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
73	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
74	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
74	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:6.00	b1500
74	3	Preflop	Button	96.000	66.000	185.000	Fold,Call,Raise:66.00,Raise:72.00	Raise:72.00	b15300
74	4	Preflop	Button	353.000	47.000	47.000	Fold,Call	Call	c
75	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
75	2	Preflop	BigBlind	21.000	15.000	197.000	Fold,Call,Raise:15.00,Raise:16.00	Raise:15.00	b3300
75	3	Flop	BigBlind	66.000	0.000	167.000	Check,Raise:33.00,Raise:49.50	Raise:33.00	b3300
75	4	Turn	BigBlind	132.000	0.000	134.000	Check,Raise:66.00,Raise:99.00	Raise:99.00	b9900
76	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
76	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
76	3	Turn	Button	13.000	0.000	193.500	Check,Raise:6.50,Raise:10.00	Raise:10.00	b1000
76	4	River	Button	33.000	0.000	183.500	Check,Raise:16.50,Raise:25.00	Raise:16.50	b1650
78	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
78	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
80	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
80	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
82	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
83	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
83	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
83	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:9.00	b900
83	4	River	BigBlind	30.000	0.000	185.000	Check,Raise:15.00,Raise:22.50	Raise:22.50	b2250
84	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
84	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
84	3	Turn	Button	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Raise:5.00	b500
84	4	River	Button	20.000	0.000	190.000	Check,Raise:10.00,Raise:15.00	Raise:10.00	b1000
85	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
85	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
85	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:7.50	b750
86	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
86	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
87	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
87	2	Preflop	BigBlind	21.000	15.000	197.000	Fold,Call,Raise:15.00,Raise:16.00	Raise:15.00	b3300
87	3	Preflop	BigBlind	233.000	167.000	167.000	Fold,Call	Fold	f
88	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
88	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
88	3	Turn	Button	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:7.50	b750
89	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
89	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
90	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
90	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
91	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
91	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
91	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
91	4	River	BigBlind	38.000	0.000	181.000	Check,Raise:19.00,Raise:28.50	Raise:28.50	b2850
92	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
93	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
93	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
94	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
94	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
95	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
95	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
96	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
96	2	Flop	Button	7.500	2.500	197.500	Fold,Call,Raise:2.50,Raise:5.50	Raise:5.50	b800
98	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
98	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
98	3	Turn	Button	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Raise:5.00	b500
99	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
99	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
